suhtlemispsühholoogia,P2NC.00.085
aritmeetika i,HTOS.02.451
soome-ugri kultuur,FLKU.03.020
personalijuhtimine ja eestvedamine,MJJV.03.124
etnoloogia ja kultuuriantropoloogia alune,FLKU.03.010
ladina juriidiline terminoloogia,OIEO.01.033
praktiline astronoomia,LTTO.00.012
teatriteaduslik magistriseminar ii,FLKU.05.257
praktika valiktsükkel,MV00.00.007
teadustöö metoodika . üldkursus magistriõpe,KKSB.02.011
täiskasvanud füsioteraapia praktika,KKSB.05.042
üldine topoloogia i,MTMM.00.011
omakirjastuslik väljaanne 1968 - 1985,FLKU.05.203
farmatseutiline tehnoloogia,ARFA.02.113
aritmeetika ja arvuteooria,P2NC.00.655
matemaatika ajalugu,MTMM.00.046
renormeerimismeetod kvantväljateooria,LOFY.04.016
äriprotsess juhtimine,MTAT.03.231
multikultuuriline haridus,HTPK.02.035
koolipraktika,P2NC.00.704
kirjandus ja teatriteadus doktoriseminar,FLKU.05.021
erivajadus laps toetamine,P2NC.00.701
rahvusvaheline kaubandusõigus harjutuskohus i,OIEO.06.037
maksuõigus,P2OG.02.014
küberkaitse ja rahvusvaheline küberjulgeolek,OIAO.07.093
mõõtmismeetod,LOFY.01.036
meditsiiniline biokeemia,ARBK.01.003
võrgutehnoloogia i,LTAT.06.004
finantsturg ja - järelevalve,P2OG.01.056
rahvusvaheline sotsiaalhooldusõigus,OIEO.05.025
struktuuranalüüs i,LOKT.09.022
euroopa eraõigus areng,OIEO.04.111
geomeetria,HTOS.02.238
diakoonia,USUS.03.047
rahvusvaheline poliitökonoomia,SORG.00.064
kaevandusala rekultiveerimine,LOOM.03.081
kultuurietendus analüüs,FLKU.05.133
erialane tekst kriitiline analüüs,FLKU.04.063
multimeedia,MTAT.03.132
eriala kompositsioon i,P2VK.01.029
võrdlev usuteadus seminar,USUS.06.080
laps ja nooruk psühhopatoloogia,ARPS.01.006
ettevõtluskeskkond,MJRI.03.019
matemaatika õpe erivajadus laps ii,HTEP.01.048
prantsuse keel teooria ii,FLGR.03.153
teadustöö metoodika iv,OIEO.01.024
kohalik omavalitsus õigus,P2OG.02.016
bakalaureusetöö kehaline kasvatus ja sport eriala,KKSP.00.016
retseptsiooniteooria ja kunstisotsioloogia,FLKU.05.229
sihtkeelne õpe,P2NC.00.653
õigustekst tõlge esimene võõrkeel ja võõrkeel,FLGR.04.444
kirjalik tõlge saksa keel eesti keel,FLGR.04.359
elu mitmekesisus i,HTOS.02.235
reumatoloogia,ARSK.01.039
õigus entsüklopeedia,P2OG.02.149
valikaine uurali rahvas kultuurilugu,FLEE.07.121
asjaõigus,OIEO.04.002
strateegiline it juhtimine,LTAT.05.002
eesti keel töötlus pythoni,LTAT.01.006
sissejuhatav laboratoorne praktikum,LTTI.00.002
finantsmatemaatika arvutusmeetod,MTMS.02.039
majandustekst tõlge esimene võõrkeel ja võõrkeel,FLGR.04.445
laps füsioteraapia praktika,KKSB.05.041
uurimistöö seminar farmakognoosia,ARFA.01.078
sotsiaaltöö puue inimene,SOSS.04.179
suu ja näolõualuukirurgia ii,ARST.01.070
ühinguõigus,P2OG.01.046
turismigeograafia,LOOM.02.106
biostatistika i,ARTH.03.021
kardioloogia ii,ARKA.01.051
biomeetria ja biostatistika,KKSB.03.028
kirurgia praktika,MV00.00.004
võrdlev usundilugu sissejuhatus,USUS.06.078
valu neurofüsioloogiline mehhanism,ARFS.01.005
ajalugu didaktika ii kooliaste,HTOS.02.211
kreeka keel põhikursus i,FLGR.02.377
luule ja proosatekst analüüs,FLKU.05.107
kultuurikorraldus praktika,FLKU.03.007
sissejuhatus matemaatiline majandusteadus,MJRI.09.001
närviteadus,ARFS.01.069
euroopa liit,P2NC.00.699
looduskaitsebioloogia,LOOM.04.003
ameerika kirjandus,FLGR.01.193
praktiline saksa keel i,FLGR.04.327
magistriseminar,FLGR.04.364
tsiviilkohtumenetlus,P2OG.01.090
andmekaitse,P2OG.01.061
rahvusvaheline majandus,MJRI.08.061
füüsika ja tehnika,LTFY.01.007
bioettevõtlus,LTMR.00.001
intellektuaalne omand,OIEO.03.010
arengubioloogia,LTMR.09.001
õigus filosoofia,OIEO.01.018
arengupsühholoogia,P2NC.00.400
terioloogia,LOOM.04.016
üldkeemia praktikum loodusteadus suund,LOKT.01.059
inglise keel didaktika esimene ja teine kooliaste ii,HTOS.02.260
religiooniuuring eriseminar,USUS.00.022
ortopeediline stomatoloogia iii,ARST.01.074
andragoogika,P2VK.05.196
suu ja näolõualuukirurgia i,ARST.01.069
eesti keel suuline ja kirjalik väljendus õpetus,LO00.00.003
onkoloogia,ARHO.02.002
anestesioloogia ja intensiivravi,ARAI.01.045
informatsioon ja kommunikatsioonitehnoloogia geograafia ja mobiilpositsioneerimine,LOOM.02.119
teadusandmed haldus ja publitseerimine,LTOM.00.007
spordipsühholoogia,KKSP.03.001
iirimaa ajalugu film,FLGR.01.054
seikluskasvatuslik keskkond loomine,P2VK.05.233
psühhopatoloogia,ARPS.01.005
etnograafiline allikas,FLKU.03.023
inglise keel õpetamine metoodika i,P2NC.00.180
ungari keel suuline ja kirjalik väljendusoskus ( b2 / c1 ),FLEE.07.106
sissejuhatus andmebaas,MTAT.03.105
kinantropomeetria,KKSP.01.060
uurimistöö ( eraõigus ) ii,OIEO.04.115
eesti kirjandus ajalugu ii,FLKU.05.091
ladina keel põhikursus i,FLGR.02.379
kvantitatiivne meetod majandusteadus,MJRI.02.052
magistritöö,AROT.00.044
vene ortograafia süvakursus,FLGR.05.155
eesti keel algõpetus didaktika ii,HTOS.02.208
eesti keel algõpetus didaktika i,HTOS.02.204
eesti keel kirjalik väljendus õpetus,P2NC.00.707
konflikt toimetulek kool,HTPK.01.226
majanduspoliitika,MJRI.03.091
lõuna-eesti arheoloogia ja ajalugu,FLAJ.01.094
töökeskkond korralduslik regulatsioon,P2VK.04.240
zoogeograafia,LOOM.04.005
usa võrdne kohtlemine õigus töösuhe,SVOI.04.005
intellektuaalne omand,P2OG.01.058
institutsiooniökonoomika,MJRI.03.053
informatsioon infrastruktuur ja arhitektuur,OIAO.06.062
statistika,MJRI.01.024
optimiseerimismeetod,MTMM.00.202
infopädevus alune,OIAO.06.050
igem,LTTI.00.021
kompuuterfüüsika i,LOTI.05.030
magistrieksam,OIAO.05.072
lähisuhtevägivald tänapäevane õigusruum,OIAO.06.063
ühinguõigus kaasusõpe,OIEO.06.077
biokeemia ja taimefüsioloogia praktikum,LTMR.08.003
menetluspraktika,P2OG.02.114
skandinaavia keel,FLGR.06.023
sissejuhatus kirjandusteadus,P2NC.00.510
teadustöö metodoloogia ja teaduspublitseerimine,MJRI.10.006
elamuspedagoogika,P2VK.05.238
"eesti keel algkursus i ( inglise keel baas ) , tase 0 > a1 . 2",FLKE.03.077
kirjandus totalitaarne režiim,FLKU.05.045
tõlkekursus norra / rootsi / taani filoloog,FLGR.06.119
eesti romaan,FLKU.05.126
folkloristika alune,FLKU.04.074
hematoloogia,ARHO.02.004
teadustöö üliõpilane,AR00.00.100
sisemeditsiin praktika,MV00.00.003
soome keel,FLEE.06.003
üldine astronoomia,LTTO.00.013
keskkonnaharidus,HTOS.02.194
ungari keel järgkursus,FLEE.07.053
"inglise keel , tase a2",P2VK.09.076
ärisuhtlus ( inglise keel ),P2PC.01.171
kirjandusteaduslik magistriseminar ii,FLKU.05.256
analüütiline mehaanika,LOFY.04.002
doktoriseminar,FLGR.05.297
suusatamine algõpetus,KKSP.05.265
toimetamine veeb ja tehniline toimetamine,FLEE.02.135
farmatseutiline keemia ii,ARFA.02.112
hispaania keel teooria ii,FLGR.03.258
bioloogiline psühholoogia arengusuund,SOPH.00.284
erikursus murre,FLEE.09.012
seminaritöö,P2VK.09.015
sissejuhatus kirjandusteadus,FLKU.05.063
värv kompositsioon ja perspektiiviõpetus,HTHT.02.013
eesti keel õpetamine metoodika iii,P2NC.00.584
teatrikriitika seminar,FLKU.05.141
lavatehnika,P2VK.04.406
eesti keel ajalugu,FLEE.09.010
uurimistöö ( avalik õigus ) ii,OIAO.06.048
meditsiiniõigus,OIAO.01.007
rahvusvaheline perekond ja pärimisõigus,OIEO.06.057
nõustamine ja koostöö lastevanem,HTOS.02.454
majandusarvestus,P2PC.00.144
planeerimine alune,LOOM.02.097
inglise kirjandus ajalugu 18 - 20 saj,P2NC.00.489
sotsiaalkindlustus ökonoomika,P2PC.00.102
immunoloogia ja immunogeneetika,LOMR.02.001
arvutiõpetus,P2NC.00.601
loogika,P2OG.03.004
eesti keel õpe erivajadus laps ii,HTEP.02.085
sissejuhatus sotsiaalne stratifikatsioon,SOSS.01.079
fotoonika projekt,LTFY.03.001
riigiõigus,OIAO.05.040
akadeemiline õpp ja kirjaoskus,FLLC.01.002
andmeanalüüs i,MTMS.01.069
matemaatika arvutilingvist i,MTAT.06.019
hoolekanne ja tervishoid korraldus,SOSS.04.128
prantsuse keel praktikum i,FLGR.03.149
inimene molekulaarne ja kliiniline geneetika,ARMP.01.026
folkloristlik arhiivipraktika,FLKU.04.129
praktika,MJRI.02.074
sissejuhatus reklaamipsühholoogia,SOPH.00.301
teaduslik uurimistöö alune,FLAJ.01.061
intellektuaalne omand kaitse,OIEO.03.013
turundus juhtimine,MJJV.02.083
kaasaegne suund neuroteadus 4,ARFS.01.073
doktoriseminar : publitseerimine ettevalmistus,SOZU.00.012
karistusõigus aktuaalne probleem,OIAO.01.033
sissejuhatus inimõigus,OIAO.07.051
doktoriseminar,FLAJ.00.022
sissejuhatus eesti eraõigus,OIEO.06.020
pärimisõigus,P2OG.01.027
statistiline nõustamine,MTMS.01.015
klienditöö praktika,P2PC.03.031
eesti õigekeelsus ja väljendusõpetus,FLEE.02.042
riskiteooria,MTMS.02.015
personalijuhtimine,P2VK.05.118
lõunaeesti keel i,FLLE.00.007
haridusökonoomika,MJRI.03.074
ettevõtlus ja innovatsioon,MJCV.00.006
esteetika,FLFI.02.065
vene keel kui võõrkeel õpetamine metoodika,P2NC.00.375
matemaatiline maailmapilt,MTMM.00.342
inglise keel struktuur i,P2NC.00.129
spordiõpetus . kergejõustik,KKSP.05.038
kirjalik väljendusoskus arendamine,HTOS.02.254
ortopeediline stomatoloogia ii,ARST.01.073
suu ja näolõualuukirurgia iii,ARST.01.071
histoloogia,ARAN.02.005
teaduslik uurimistöö alune,FLAJ.06.004
vene õiguskeel ( b2-c1 ),P2OG.04.031
molekulaarne biotehnoloogia praktikum,LOMR.01.003
baltisaksa kirjandus eesti kirjanduslugu taust,FLKU.05.076
sissejuhatus valguskujundus,P2VK.04.065
sissejuhatus informaatika,MTAT.05.074
teadustöö metoodika i,OIEO.01.021
peremeditsiin praktika,MV00.00.005
juhendajaseminar,FLKU.05.258
etnograafiline välitöö praktika,FLKU.03.036
teadustöö planeerimine meditsiiniline biokeemia eriala,ARBK.01.025
üks läänemeresoome keel . vadja keel,FLEE.06.121
prantsuse keel teooria i,FLGR.03.152
prantsuse keel praktikum iii,FLGR.03.151
õpiabipraktika tavakool,HTEP.02.114
teatritekst analüüs,FLKU.05.247
java harjutus ii,MTAT.03.329
soome arheoloogia,FLAJ.01.069
konkurentsiõigus,OIEO.06.005
üliõpilane harjutuskohus i,OIAO.02.020
praktiline teadusloome ja akadeemiline andmebaas,P2OG.03.057
molekulaarbioloogia alune,LTMR.05.001
üldine teatriajalugu iii . lääs teater pärast teine maailmasõda,FLKU.05.262
ameerika äriõigus alune ( väärtpaber ja vaidlus lahendamine ),OIEO.06.063
rakendustarkvara : sas,MTMS.01.058
konkurentsiõigus,P2OG.01.063
elektroonika alune,LTTI.00.004
molekulaarne süsteemibioloogia,LTTI.00.009
turundus,MJJV.02.106
ärisuhtlus i,MJJV.03.118
suu ja hambahaigus ii,ARST.01.096
õigus psühholoogia,OIAO.06.029
"eesti keel algkursus i , inglise keel baas , tase 0 > a1 . 1",FLLC.09.001
"ühiskond , kultuur ja meedia",SVUH.06.004
väärteomenetlus,P2OG.02.169
tekstianalüüs,FLGR.06.026
eesti ajalugu ja maatundmine,FLEE.04.020
eesti õigekeelsus ja väljendusõpetus,P2PC.00.507
kriminoloogia põhikursus,P2OG.02.104
sissejuhatus karjäärinõustamine,SOPH.00.391
"kuulmis-ja kõneelund anatoomia , füsioloogia ja patoloogia",ARKR.01.024
slaavi filoloogia alune,FLGR.05.089
kodanikuühiskond,SORG.00.029
magistritöö seminar,LTAT.00.006
tarkvaratoode juhtimine,MTAT.03.325
programmeerimiskeel uurimisseminar,MTAT.03.271
menetluspraktika infotehnoloogia,MTAT.03.206
biosüstemaatika alune ja meetod,LOOM.01.032
"saksa keel algaja i ( süvaõpe ) , tase 0 > a1",FLKE.02.277
sotsiaaluuring planeerimine,SOSS.04.061
sotsiaalpoliitika analüüs,SOSS.04.087
sissejuhatus rahvusvaheline äriõigus,OIEO.06.079
"eesti keel intensiivkursus i . grammatika ja kirjalik eneseväljendus ( vene keel baas ) , tase 0 > a2",HVLC.09.031
magistriseminar,MJ00.00.051
akadeemiline eesti keel võõrkeel,HVEE.02.005
teadustöö ja majandusuuring alune,MJRI.01.044
magistritöö ( maalikunst ),HVVK.14.083
euroopa muinaskultuur,FLAJ.01.137
juhtimine ja esindamine praktika,SVMJ.03.008
"erialane inglise keel . õiguskeel ii ( aü ) , tase b2 . 1 > b2 . 2",HVLC.01.023
infoühiskond ja sotsiaalne heaolu,SVUH.00.056
"erialane inglise keel . õiguskeel vestluskursus iv ( aü ) , tase c1",HVLC.01.026
sotsiaalne süsteem ja inimene,SVUH.00.045
sotsioloogia metodoloogia erikursus,SHUH.06.003
kommunikatsioon eetika,SVUH.00.012
bioloogia kool,LOLH.00.010
illustratsioon,HVVK.14.073
süsteemibioloogia,LTTI.00.008
mineraloogia,LOOM.03.017
tugi-liikumisaparaat tervishoid,KKSB.03.030
katseandmed analüüs,LOOM.04.052
eesti keel õpetamine metoodika i,P2NC.00.235
täiendav lastekirurgia,ARKI.02.035
kunstiõpetus esimene kooliaste i,HTOS.02.241
popkultuur teooria,P2VK.05.136
prantsusmaa ühiskond ja kultuur,FLGR.03.191
vaimne võime,SOPH.00.276
inglise õiguskeel süvendatult jurist ( c1 ),P2OG.04.036
teadus ja tehnikatekst tõlge esimene võõrkeel ja võõrkeel,FLGR.04.635
rakendustarkvara : r,LTMS.00.016
rahvusvaheline õigus,OIAO.07.075
"eesti keel intensiivkursus i . grammatika ( inglise keel baas ) , tase 0 > a2",HVLC.09.007
doktoriseminar : teadustöö tulemus publitseerimine ii,SOZU.00.035
kultuuriteooria alune,FLSE.00.302
"inglise keel kõrgtase i , tase b2 . 2 > c1 . 1",HVLC.01.033
"inglise keel eelkesktase i , tase a2 . 2 > b1 . 1",HVLC.01.027
etnograafiline välitöö metodoloogia,HVKU.03.002
praktika bakalaureuseõpe,USUS.03.101
kvalitatiivne analüüs,SHRG.00.016
sotsiaalne muutus analüüs metoodika valik ja andmed hindamine,SVSV.00.003
infoteenindus,SHZU.05.015
diskreetne matemaatika,P2NC.01.081
elukindlustusmatemaatika ii,MTMS.02.052
doktoritöö,FLEE.00.024
akadeemiline kirjutamine ii,P2NC.00.591
sotsiaalne õigus areng eestima : õigus töö ja õigus sotsiaalkindlustus,OIEO.05.031
filosoofia / esteetika i,P2VK.09.012
pärimustants praktika,P2VK.02.491
merefüüsika,LOFY.05.004
tsiviilmenetlus eriseminar,P2OG.01.068
teadustöö metoodika iii,OIEO.01.023
üldkompositsioon i,P2VK.01.025
diplomaatia põhimõiste ja ajalugu,FLAJ.06.120
20 sajand kirjandus seminar,FLKU.05.233
bioloogia,ARMP.01.029
rahvusvaheline õigus,P2OG.02.156
rahvusvaheline õigus,SHRG.03.025
saksa keel leksikoloogia ja fraseoloogia,FLGR.04.721
"soome keel algkursus inglise keel baas ii , tase a1 . 1 > a1 . 2",HVEE.03.008
eesti keel praktiline morfoloogia ja sõnamoodustus,HVEE.05.014
antiik pärand euroopa kultuuritraditsioon,FLGR.02.460
praktiline usuteadus sissejuhatus,USUS.03.054
jazzmuusikalugu,HVVK.14.025
majandusprobleem kaasusanalüüs,MJJV.00.007
teoloogia ja soolisus,USUS.02.056
"inglise keel kursus , tase b1",HVLC.01.055
islam sisemine pluralism,USUS.08.025
kriitiline mõtlemine ja argumenteerimine,FLFI.00.102
audiotekst algkursus,SVUH.00.027
infokäitumine teooria ja praktika,SVUH.00.018
akadeemiline enesejuhtimine,SHUH.00.005
huvitegevus mäluasutus i,SHZU.05.012
läänemere piirkond kultuuriruum ( 100%e - õpe ),HVLC.00.002
statistiline ja ökonomeetriline meetod,MJRI.01.033
informatsioon ja ühiskond,SVUH.00.068
sissejuhatus meedia ja kommunikatsioon uurimismeetod,SHZU.02.001
sissejuhatus kommunikatsioon ja meedia,SVUH.00.038
sissejuhatus audiovisuaalne sisu tootmine,SVUH.00.042
"eesti keel kesktase i , sõnavara ja vestlus , b1 . 1 > b1 . 2",FLLC.09.006
matemaatika ja informaatikaõpetaja pidev praktika,MTMM.00.322
sissejuhatus matemaatika eriala,MTMM.00.324
biomeditsiinitehnika,LTTI.00.011
keskkonnaõigus,OIEO.02.013
maailmakirjandus iii . valgustus . romantism . realism,FLKU.05.237
inglise keel kõrvalaine i,FLGR.01.208
matemaatika didaktika üldkursus,MTMM.00.120
ehitusgeoloogia,LOOM.03.078
kuritegevus meedia peegel,P2OG.02.028
eesti kirjanik,P2NC.00.158
strateegiline juhtimine doktorikursus,MJJV.03.139
makroökonoomiline keskkond,MJRI.10.009
kliiniline farmakoloogia,ARFR.02.026
infosüsteem,MTAT.03.139
orgaaniline keemia doktorant,LOTI.03.002
"audioprogramm , süntesaator ja midi",P2VK.02.720
inimene ja arvuti interaktsioon,LTAT.05.007
ikt alune,OIAO.06.060
sissejuhatus finantsmatemaatika,LTMS.00.017
sotsiaaltöö ja sotsiaalpoliitika kaasaegne probleem,SOSS.04.102
eesti keel võõrkeel õpetaja peaeriala põhipraktika,HVEE.02.002
tsiviilõigus eriseminar doktorant ii,OIEO.04.096
tööõigus,OIEO.05.023
doktoritöö,OIEO.00.005
akadeemiline eesti keel,HVEE.01.004
kunst muusika - tõde ei olema olema ?,HVVK.14.097
religioon ja rahvuslus,USUS.01.067
"inglise keel kõrgtase i , tase b2 > c1",HVLC.01.053
tarbegraafika kujundus vektorprogramm,HVVK.14.015
kuidas lugema sotsiaalteooria,SVUH.00.013
immunoloogia alane uurimistöö alune iv,ARMP.02.010
teadusmetodoloogia alune religiooniuuring ja teoloogia,HVUS.02.006
infoteadus alune,SVUH.00.071
mittereligioosne maailmavaade,HVUS.01.001
matemaatika õpetamine metoodika i kooliaste,P2NC.00.639
tunnetuspsühholoogia,SHPH.00.029
"religioon , õigus ja poliitika - aktuaalne probleem",OIAO.07.100
kirjandus koolieelne iga,P2NC.00.607
spetsialiseerumispraktika,P2VK.05.214
õigus sotsioloogia,OIAO.06.028
infotöötlus,P2VK.01.242
etnoloogia ja folkloristika magistriseminar,FLKU.03.006
sünteetiline bioloogia praktikum ii,LTTI.00.018
konflikt semiootika,FLSE.00.316
juhtimisökonoomika,P2VK.05.307
vene kultuur kultuuridevaheline kommunikatsioon kontekst,P2NC.00.871
teadusfilosoofia ja - metodoloogia,FLFI.03.007
muinaseesti sõjandus,FLAJ.01.060
inglise keel ajalugu,FLGR.01.010
traumatoloogia ja ortopeedia,ARTO.01.030
eesti keel ja stilistika,FLEE.02.019
kirjalik ja suuline tõlge inglise keel,P2NC.00.594
isiksusepsühholoogia,SOPH.00.277
matemaatikaprogramm kasutamine i-ii kooliaste,SHHI.02.023
kirjandus ja teatriteaduslik magistriseminar,FLKU.05.253
geoloogia metodoloogia ja ajalugu,LOOM.03.048
intellektuaalomand kaitse infotehnoloogia valdkond,OIEO.06.082
seminaritöö,SHUH.04.026
organisatsioon teadmusjuhtimine,SVUH.00.069
algoritm ja andmestruktuur,LTAT.03.005
"margaret atwood : tekst , intertekst ja kontekst",FLLC.01.006
eesti keel struktuur ja sõnavara i,HVEE.05.006
eesti keel vestluskursus i,HVEE.05.007
eesti keel kuulamine ja hääldamine i,HVEE.05.005
"eesti keel kõrgtase i , b2 . 1 > b2 . 2",FLLC.09.010
laul ja hääleseade i,P2VK.02.068
uurimistöö,OIEO.04.140
"erialane inglise keel arvutitehnika üliõpilane , tase b2 > c1",HVLC.01.008
"inglise keel kõrgtase ( 100%e - õpe ) , tase b2 > c1",HVLC.01.040
"inglise keel . üldakadeemiline sõnavara ( 100%e - õpe ) , b1 . 2 > b2 . 1",HVLC.01.041
juhtimine ja meeskonnatöö alune,SVMJ.03.004
eesti ja maailmakirjandus suur teema,FLKU.05.243
"inglise keel lennuakadeemia üliõpilane , tase b2 > c1",HVLC.01.021
maailm usund,HVUS.06.002
vabatahtlik iseseisev praktika,SVUH.00.043
matemaatika alune,MTMM.00.242
magistriseminar arvutitehnika ja robootika,LOTI.05.031
ettevõtlus baasmoodul,SVMJ.02.008
molekulaarne biotehnoloogia,LOMR.01.001
andmetöötlusmeetod,MTMS.01.016
eesti keel digitaalne ressurss ja tööriist,FLEE.08.103
füüsikaline materjalitehnoloogia,LOFY.02.010
pedagoogika uurimismeetod,HTPK.01.063
multikultuurne ühiskond,SOSS.02.106
joonistamine i,P2VK.01.002
avalik ja kolmas sektor juhtimine,SORG.00.007
euroopa liit majandus ja rahanduspoliitika,P2EC.00.019
privaatsusõigus ja isikuandmed kaitse,OIAO.05.064
kunstiteos analüüs,FLAJ.05.095
maalimine i,P2VK.01.009
rahvusmüüt euroopa kultuur,FLFL.00.012
settekivim petroloogia,LOOM.03.125
magistritöö,LOOM.00.002
pärimustants,HVVK.14.008
saksa keel grammatika i,FLGR.04.717
saksa keel suuline ja kirjalik väljendusõpetus,FLGR.04.718
soome keel algaja,HVEE.03.006
kaugem sugulaskeel iii,HVEE.03.003
soome-ugri keel ajalugu,HVEE.03.005
võru keel algkursus,HVEE.01.002
keel kasutus,HVEE.04.002
eesti rahvatants,HVVK.14.098
"inglise keel kesktase i , tase b1 . 2 > b2 . 1",HVLC.01.029
veebipõhine inglise keel grammatika põhikursus,HVVK.12.010
juut mõttelugu kesk ning uusaeg,USUS.08.018
taim värvimine,HVVK.14.004
matemaatiline meetod majandusteadus,MJRI.09.030
"inglise keel lennuakadeemia üliõpilane , tase b2 . 1 > b2 . 2",HVLC.01.020
uus testament eksegees,USUS.04.065
religioonisemiootika,HVUS.02.007
politoloogia eriseminar doktorant,SORG.00.048
infoallikas ja infootsing,SVUH.00.014
"eesti keel sõnavara ja vestluskursus eelkesktase i , a2 . 1 > a2 . 2",FLLC.09.004
farmaatsiaalane ladina keel,FLKE.05.009
"süsteem modelleerimine ( praktikum , matlab )",LTTI.00.010
teadmus ja innovatsiooniprotsess juhtimine,MJJV.07.043
õendusjuhtimine praktika,AROT.00.014
euroopa liit struktuur,P2VK.05.178
kultuurisemiootika,P2VK.05.190
loodus ja maatundmine praktika,P2NC.00.287
laps füsioteraapia i,KKSB.05.033
meeskond organisatsioon,MJJV.03.174
ladina keel põhikursus romanistika eriala,FLGR.02.330
halduspoliitika,SORG.00.009
eraõigus aktuaalne probleem ii,OIEO.04.100
üldine hüdrobioloogia,LOOM.04.034
kliiniline psühholoogia,SOPH.00.294
eesti keel edasijõudnu i ( c1 . 1 ),FLEE.04.126
psühhomeetria alune,SOPH.00.287
programmeerimiskeel uurimisprojekt,MTAT.03.272
"kultuuriteooria etnoloogia , folkloristika ja kultuuriantropoloogia",FLKU.04.132
õiguslik analüüs ja argumentatsioon,OIAO.06.030
majandus põhialus,SVMJ.05.001
praktika infotehnoloogia,MTAT.00.046
keskkonnajuhtimine ja keskkonnaaudit,LOOM.02.162
kriminalistika,OIAO.03.021
privaatsus ja andmekaitse,OIAO.05.070
infoühiskond aktuaalne teema,SHZU.05.033
valitud peatükk teadusfilosoofia,FLFI.03.023
teadusfilosoofia,FLFI.03.097
ungari keel algkursus i,HVEE.03.011
lepinguväline võlasuhe,OIEO.04.138
õigusteaduslik uurimistöö alune ja akadeemiline väljendusoskus,OIEO.04.141
mis mina ühendama killustunu maailm ? fiktiivne maailm loomine võte ja eetika,HVVK.14.096
"inglise keel kesktase . grammatika ja sõnavara , tase b1 . 2 > b2 . 1",HVLC.01.035
"inglise keel kõrgtase ii , tase c1",HVLC.01.054
budism alune,USUS.06.134
veebipõhine inglise keel grammatika põhikursus 2,HVVK.12.018
euroopa idee ajalugu,FLAJ.07.198
semiootika alune,FLSE.00.216
tänapäevane andmestik sotsiaaluurimus,SVUH.06.002
psüühika põhifunktsioon,SHPH.00.038
portree maalimine,HVVK.14.094
robootika praktikum,LOTI.05.023
laagripraktika,P2VK.05.142
sissejuhatus it - õigus,P2OG.02.164
tehnoloogia ja innovatsioonipoliitika,MJJV.07.038
analüütiline keemia,LTKT.06.005
"eesti keel algkursus ii , inglise keel baas , a1 . 1 > a1 . 2",FLLC.09.002
taani foneetika ja fonoloogia,FLGR.06.029
eesti kultuurilugu,P2NC.00.323
religioonifilosoofia,USUS.06.109
laps ja noortekirjandus,FLKU.05.095
ülikool õpetamine praktika,OIAO.06.040
lastekirjandus,P2NC.00.290
ettevõttepraktika,P2PC.00.524
radiofarmatseutiline preparaat,ARFA.02.081
norra kirjandus ajalugu,FLGR.06.039
sissejuhatus kodeerimisteooria,MTAT.05.082
nõue analüüs,MTAT.03.306
rakenduselektrokeemia,LTKT.02.007
spordijuhtimine alune,KKSP.03.026
prantsuse õiguskeel ( b2-c1 ),P2OG.04.037
kriitikapraktika,FLKU.05.227
maksundus ja võlaõigus kultuuriettevõtlus,P2VK.05.219
menetluspraktika,OIAO.06.035
statistiline andmetöötlus,LOOM.02.153
ettevõttepraktika,LOOM.00.023
hollywood ja žanrifilm,HVVK.14.013
eesti keel töötlus pythoni,HVEE.04.004
võrdlev eraõigus eriseminar doktorant,OIEO.04.133
haldusõigus,OIAO.05.039
digiõigus harjutuskohus,OIEO.06.090
uurimispraktika,P2PC.01.083
juhtimine alune,MJJV.03.146
sissejuhatus õping,MJ00.00.034
lähilugemine religiooniuuring ja teoloogia,HVUS.03.002
personal juhtimine ja organisatsioonikäitumine,MJJV.03.147
sissejuhatus teoloogia ja religiooniuuring,USUS.02.094
uus testament sissejuhatus,USUS.04.033
araabia ajalugu ja kultuurilugu,USUS.08.016
matemaatiline tekst küljendamine,MTMM.00.328
eesti kirjandus ja kultuur,HVKU.05.004
statistiline ja ökonomeetriline analüüs,SVMJ.04.007
uurimistöö kirjutamine alune,HVEE.01.005
uurimistöö alune,SVUH.00.015
kiirgusbioloogia ja kiiritusravi alune,LOFY.01.118
keskaeg ladina keel,FLGR.02.531
autor või probleemseminar ii,FLFI.00.025
eesti keel aluskursus i,SVNC.00.066
viiking ja keskaeg kirjandus põhjamaa,FLGR.06.173
"kultuurispetsiifiline ja universaalne euroopa keel ja kultuur . taju , keelematerjal , diskursus",FLFL.00.008
"inglise keel geograafia , geoloogia ja keskkonnatehnoloogia üliõpilane , tase b2 > c1",HVLC.01.013
erialane inglise keel õpetaja ( b2 keeletase ),HTHT.02.002
professionaalne eneseanalüüs,SOZU.04.065
"vene keel algkursus i ( inglise keel baas ) , tase 0 > a1",HVLC.05.012
ülevaade audiovisuaalne kommunikatsioon,SOZU.01.192
keeleteadus alune,FLEE.08.053
lõputöö,P2PC.00.503
tervishoid kvaliteet hindamine ja juhtimine,ARSK.05.014
inglise keel praktiline grammatika i,FLGR.01.042
doktoriseminar,FLAJ.00.056
dekoratsioonimaa,P2VK.04.674
mikroökonoomika,MJRI.09.031
sissejuhatus sotsiaaltöö,SVPC.03.001
uusaeg,FLAJ.07.205
spordijuhtimine seminar,KKSP.03.051
lavaline liikumine praktika,P2VK.04.638
euroopa liit õigus,P2OG.02.209
