kõrv - nina - kurguhaigus,ARKR.01.002
psühholingvistika,FLEE.08.064
eksperimentaalpsühholoogia eriseminar,SOPH.00.548
õpetamine ja refleksioon,SHHI.01.028
suhtlemispsühholoogia,P2PC.00.659
sotsiaalhooldusõigus,P2OG.02.015
tööõigus,P2OG.01.044
ansambel iii,P2VK.02.680
kristlus ajalugu,USUS.01.069
mikroökonoomika,MJRI.09.017
heaolumajandus ja innovatsioon,P2PC.00.669
kaasaegne eesti keel i,SHHI.02.053
ersa keel i,FLEE.07.171
üldrelatiivsusteooria,LOFY.04.049
turundus,MJJV.02.092
laser füüsika,LOFY.01.033
geotektoonika ja regionaalgeoloogia,LOOM.03.124
bioloogiafilosoofia,FLFI.03.084
eestvedamine ja konflikt juhtimine,MJJV.03.166
sissejuhatus filosoofia,FLFI.00.001
saksa kirjandus proseminar,FLGR.04.061
eesti nüüdiskirjandus,FLKU.05.121
genoomika,LOMR.10.006
üldkeemia seminar,LOKT.01.046
eesti lastekirjandus,HTOS.02.077
ulukibioloogia,LOOM.04.066
neuropsühholoogia,SOPH.00.024
tehnikatekst toimetamine,FLEE.02.134
biomeetria bioloog,MTMS.01.017
eesti keel praktika,FLEE.04.132
õigus entsüklopeedia,OIAO.06.049
eesti kirjandus ajalugu i,FLKU.05.090
geoloogiline seadusandlus,LOOM.03.082
muuseumipraktika,FLKU.05.125
varavastane süütegu,OIAO.01.026
magistritöö,FLFI.00.071
õiguspsühholoogia,P2OG.03.066
hingehoid,USUS.03.024
baltimaa kiviaeg,FLAJ.01.073
religioonipsühholoogia,USUS.03.079
projekt ja protsessipõhine juhtimine,P2PC.00.678
ansambel i,P2VK.02.678
selgrootu zooloogia,LOOM.04.077
kehaline kasvatus õpetaja põhipraktika,KKSP.02.039
monetaarökonoomika,MJRI.10.039
matemaatika kool,MTMM.00.352
magistritöö,SOPH.00.522
magistriseminar,LOOM.02.209
kuritegevus meedia peegel,OIAO.01.040
arendusprojekt planeerimine ja koostamine õendus,AROT.01.013
keemia alune,LOKT.07.015
eritehnika kunstiõpetus,HTHT.02.012
kool tarkvara,MTAT.03.029
pärmigeneetika,LOMR.08.007
geoloogia magistriseminar,LOOM.03.127
eripedagoog kutse - eetika,HTHT.07.002
kolloid ja pindnähtus keemia i,LOKT.04.003
doktoriseminar,FLFI.00.016
patoloogiline füsioloogia,ARMP.03.014
bioorgaaniline keemia,LOKT.10.012
üldine keemia,LOKT.01.058
eesti keel stilistika,P2NC.00.870
mitteparameetriline statistika,MTMS.01.037
uurimistöö,SOPH.00.477
suu ja hambahaigus iii,ARST.01.077
bioeetika,ARTH.02.063
õppemetoodiline töö,MTAT.00.028
anatoomia,ARAN.01.039
anatoomia,ARAN.01.038
magistritöö,FLEE.00.028
rahvusvaheline kriminaalõigus,OIAO.07.043
babüloonia keel ja kiri,USUS.00.015
sanktsiooniõigus,OIAO.01.022
patoloogiline füsioloogia,ARMP.03.024
asjaajamine,P2NC.01.071
eesti keel vormiõpetus,P2NC.00.332
traumatoloogia ja ortopeedia,ARTO.01.021
inglise keel,P2NC.00.120
tantsuõpetaja praktika,P2VK.04.625
teadustöö alune,P2NC.01.018
infohaldus,SHUH.04.022
reporteritöö,SHZU.01.014
strateegiline juhtimine tippjuht,MJJV.03.179
mälu neurokognitiivne mehhanism,SHPH.00.043
raamatukultuur,SHZU.05.026
mapinfo edasijõudnu,LOOM.02.036
vöökudumine i,P2VK.01.291
soome kirjandus i,FLEE.06.166
bakalaureusetöö füsioteraapia eriala,KKSB.00.011
kontaktimprovisatsioon i,P2VK.04.028
keemia alune,LOKT.07.010
sissejuhatus riigiteadus,SORG.00.003
biofüüsika,ARFS.01.023
bakalaureusetöö,SORG.00.004
innovatsioon juhtimine,MJJV.07.083
inglise leksikoloogia,FLGR.01.137
üldine ja anorgaaniline keemia,LOKT.00.004
võlaõigus üldosa,P2OG.01.088
toimetajapraktika,FLEE.02.160
laboratoorne meditsiin,ARSK.03.012
infektsioonhaigus,ARSK.04.001
evolutsioonimehhanism,LOMR.02.004
turundus,P2VK.05.060
eesti argikultuur praktika,FLEE.04.181
õigus filosoofia,P2OG.02.106
matemaatika psühholoog,MTMM.00.002
seminaritöö,SOZU.00.005
põhjavesi dünaamika,LOOM.03.076
eesti selgroogne,LOOM.04.014
norra keeleajalugu,FLGR.06.033
kohtuarstiteadus,ARPA.02.012
laps ja tervis,AROT.00.065
õpetamine praktika,LOTI.05.025
koolieelne lasteasutus õpetaja pidev praktika,SHHI.02.032
ühiskonnakorraldus,P2NC.01.064
joonestamine meistriklass,P2VK.04.655
raskejõustik algõpetus,KKSP.05.255
keskkonnaõigus,P2OG.02.168
soololaul,P2VK.04.589
doktoriseminar,FLSE.00.204
biosemiootika,FLSE.00.258
tantsuajalugu ii,P2VK.04.038
signaalitöötlus alune i,LOFY.01.018
kavandamine käsitöö,HVVK.01.090
spektroskoopiline analüüsimeetod,LOKT.06.017
lastekirurgia,ARKI.02.030
lepinguõigus,OIEO.06.045
